D0,QD,FN0,QFN,T0,gamma,Nc,realisation,temperature,stress,time_to_tertiary,strain_to_tertiary,time_to_failure,strain_to_failure
4.722e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,10335120.80761,0.024158778558708,13215120.80761,0.030652621349276
4.722e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,3279120.8076096,0.0084654452331531,4431120.8076096,0.011139883819141
4.722e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,1119120.8076096,0.0035300032996618,1695120.8076096,0.0049511204775554
4.722e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,7311120.8076096,0.01748109712248,9183120.8076096,0.021788385360259
4.722e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,2127120.8076096,0.0058482832350444,3135120.8076096,0.0082259478122719
4.722e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,831120.80760956,0.0028568652834342,1263120.8076096,0.0039622511255298
4.722e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,5727120.8076096,0.013958578830292,7311120.8076096,0.017601584450082
4.722e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,1695120.8076096,0.0048589490143382,2559120.8076096,0.0069106314676373
1.574e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,6015120.8076096,0.014584729693195,7167120.8076096,0.017238085386288
4.722e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,687120.80760956,0.0025154998980538,1119120.8076096,0.0037281868126792
1.574e-07,91750.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031088192879539,36000000.0,0.081495473076929
1.574e-07,110100.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030441960710219,15087120.80761,0.10986902471571
1.574e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030445348993909,14943120.80761,0.10878122260017
1.574e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030454202204206,8319120.8076096,0.05999920727038
1.574e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,2127120.8076096,0.016353700021236,2847120.8076096,0.021634752222016
1.574e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.03044689754698,14943120.80761,0.10879493067472
1.574e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3855120.8076096,0.028451242840668,5727120.8076096,0.041751538979123
1.574e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1407120.8076096,0.011259018455326,1983120.8076096,0.015497989116992
1.574e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030448392821074,13647120.80761,0.099003519851526
1.574e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3567120.8076096,0.02644645897608,4575120.8076096,0.033676017820713
1.574e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1119120.8076096,0.0092059633294639,1695120.8076096,0.013730224383597
1.574e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030454474396703,10335120.80761,0.074549573826659
1.574e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,2703120.8076096,0.020409276664121,3567120.8076096,0.026803953689852
1.574e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,3999120.8076096,0.029451798912936,6447120.8076096,0.04674663118013
1.574e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,831120.80760956,0.0071448941115724,1263120.8076096,0.010399651863985
1.574e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3999120.8076096,0.02945606206355,7167120.8076096,0.051975465686733
1.574e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1839120.8076096,0.01432939412063,2559120.8076096,0.020100385227322
1.574e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,543120.80760956,0.0050583668674803,859920.80760956,0.0076420296109299
1.574e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3855120.8076096,0.02845733595322,5727120.8076096,0.04178367934625
1.574e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1407120.8076096,0.011264965090278,1983120.8076096,0.01551761097523
1.574e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,399120.80760956,0.0040024454069363,715920.80760956,0.0067381268770153
3.148e-07,110100.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030442694009789,15087120.80761,0.10987167507078
3.148e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030447020105188,14799120.80761,0.10771185014422
3.148e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,3711120.8076096,0.027447339344465,5007120.8076096,0.036689889448615
1.574e-07,110100.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030442756715165,15087120.80761,0.10987262843801
3.148e-07,110100.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030443675549654,14943120.80761,0.10876880510406
3.148e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030450301673337,10335120.80761,0.074533592188086
3.148e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,2703120.8076096,0.020399946148495,3567120.8076096,0.026953746467524
3.148e-07,110100.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030444449035716,14943120.80761,0.10877355548536
3.148e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030453268302768,8319120.8076096,0.060092831683172
3.148e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,2127120.8076096,0.016351957829839,2847120.8076096,0.021707855443481
3.148e-07,91750.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030446809720667,14943120.80761,0.10878916712942
3.148e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3999120.8076096,0.029455146801062,6447120.8076096,0.046868470573628
3.148e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1695120.8076096,0.013306980852656,2271120.8076096,0.017737167334185
3.148e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030449290874187,13071120.80761,0.094670660379859
1.574e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030447710494653,13215120.80761,0.095725867533148
3.148e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3423120.8076096,0.025442098205877,4431120.8076096,0.032711553956767
3.148e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1119120.8076096,0.0092090006554718,1551120.8076096,0.012423899112169
3.148e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030451517207721,10479120.80761,0.075510489969607
3.148e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,2703120.8076096,0.020402566416363,3567120.8076096,0.026677410303166
3.148e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,831120.80760956,0.0071403316401363,1291920.8076096,0.010983720489339
3.148e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3999120.8076096,0.029456469805513,7743120.8076096,0.055948940038126
3.148e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1983120.8076096,0.015348550159449,2703120.8076096,0.020680142659521
3.148e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,543120.80760956,0.0050575110965571,1047120.8076096,0.0098833472466098
3.148e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3711120.8076096,0.027456769098806,5439120.8076096,0.039910622393579
3.148e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,1263120.8076096,0.010240589252645,1983120.8076096,0.016059109014594
1.574e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,3423120.8076096,0.025436732180331,4431120.8076096,0.032661606666407
3.148e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,399120.80760956,0.0040066255328811,715920.80760956,0.0073061033836962
3.148e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,3279120.8076096,0.024444388510347,4287120.8076096,0.031678485967542
3.148e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,975120.80760956,0.0081799924612425,1551120.8076096,0.012506926044343
3.148e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,266110.53840637,0.0030177985670366,571920.80760956,0.0061212090014736
4.722e-07,110100.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030443200372286,14943120.80761,0.10876576453371
4.722e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030448280353086,12927120.80761,0.093612860183682
4.722e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,3423120.8076096,0.025439496901127,4287120.8076096,0.031640473420379
4.722e-07,110100.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030444322075314,14943120.80761,0.10877223499369
4.722e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030452401511858,8895120.8076096,0.06416437762909
4.722e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,2271120.8076096,0.017365777110824,2991120.8076096,0.022597017831084
1.574e-07,110100.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030443372859319,14943120.80761,0.10876775696842
4.722e-07,110100.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030445218081243,14943120.80761,0.10877885541841
4.722e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,122,3999120.8076096,0.029450448476212,7167120.8076096,0.051973151368489
4.722e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,122,1839120.8076096,0.01432099076007,2415120.8076096,0.018528377157471
4.722e-07,91750.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,122,4143120.8076096,0.030448101240092,14943120.80761,0.10880668721593
